Name: Ryzen7 || Price: 582 || Year: 2018 || Frequency: 3.5 GHz || Temperature: 84.82
Name: i5 || Price: 175 || Year: 2020 || Frequency: 4 GHz || Temperature: 83.41
Name: i5 || Price: 506 || Year: 2023 || Frequency: 4 GHz || Temperature: 83.4
Name: i9 || Price: 580 || Year: 2023 || Frequency: 4 GHz || Temperature: 83.38
Name: i10 || Price: 366 || Year: 2018 || Frequency: 5 GHz || Temperature: 82.97
Name: i9 || Price: 204 || Year: 2018 || Frequency: 5 GHz || Temperature: 82.86
Name: i10 || Price: 209 || Year: 2023 || Frequency: 3.5 GHz || Temperature: 82.43
Name: i9 || Price: 516 || Year: 2023 || Frequency: 3.5 GHz || Temperature: 82.3
Name: i10 || Price: 169 || Year: 2023 || Frequency: 4.5 GHz || Temperature: 82.29
Name: Ryzen9 || Price: 367 || Year: 2021 || Frequency: 4 GHz || Temperature: 82.28
Name: i3 || Price: 565 || Year: 2018 || Frequency: 5 GHz || Temperature: 82.01
Name: i3 || Price: 439 || Year: 2019 || Frequency: 5 GHz || Temperature: 81.9
Name: Ryzen5 || Price: 315 || Year: 2018 || Frequency: 3.5 GHz || Temperature: 81.46
Name: Ryzen7 || Price: 316 || Year: 2021 || Frequency: 5 GHz || Temperature: 81.32
Name: i3 || Price: 279 || Year: 2022 || Frequency: 4 GHz || Temperature: 79.22
Name: i10 || Price: 219 || Year: 2022 || Frequency: 3.5 GHz || Temperature: 79.17
Name: Ryzen5 || Price: 526 || Year: 2023 || Frequency: 4 GHz || Temperature: 78.32
Name: i3 || Price: 233 || Year: 2022 || Frequency: 4.5 GHz || Temperature: 78.29
Name: Ryzen9 || Price: 137 || Year: 2019 || Frequency: 4 GHz || Temperature: 77.97
Name: i9 || Price: 538 || Year: 2019 || Frequency: 4.5 GHz || Temperature: 76.85
Name: i10 || Price: 267 || Year: 2019 || Frequency: 4 GHz || Temperature: 76.82
Name: i3 || Price: 251 || Year: 2019 || Frequency: 4.5 GHz || Temperature: 76.56
Name: i3 || Price: 249 || Year: 2018 || Frequency: 4.5 GHz || Temperature: 76.03
Name: i9 || Price: 146 || Year: 2021 || Frequency: 4.5 GHz || Temperature: 75.86
Name: Ryzen7 || Price: 516 || Year: 2021 || Frequency: 5 GHz || Temperature: 74.66
Name: i3 || Price: 142 || Year: 2022 || Frequency: 5 GHz || Temperature: 73.19
Name: i9 || Price: 540 || Year: 2021 || Frequency: 5 GHz || Temperature: 73.14
Name: i10 || Price: 567 || Year: 2021 || Frequency: 5 GHz || Temperature: 72.99
Name: i9 || Price: 428 || Year: 2021 || Frequency: 5 GHz || Temperature: 72.85
Name: i5 || Price: 567 || Year: 2022 || Frequency: 4.5 GHz || Temperature: 72.29
Name: i9 || Price: 129 || Year: 2020 || Frequency: 5 GHz || Temperature: 72.16
Name: i3 || Price: 422 || Year: 2022 || Frequency: 4.5 GHz || Temperature: 72.01
Name: i3 || Price: 463 || Year: 2020 || Frequency: 4 GHz || Temperature: 71.94
Name: i9 || Price: 439 || Year: 2019 || Frequency: 5 GHz || Temperature: 71.6
Name: Ryzen5 || Price: 101 || Year: 2018 || Frequency: 4 GHz || Temperature: 68.48
Name: i3 || Price: 198 || Year: 2023 || Frequency: 4.5 GHz || Temperature: 67.52
Name: i9 || Price: 253 || Year: 2023 || Frequency: 3.5 GHz || Temperature: 67.05
Name: Ryzen5 || Price: 290 || Year: 2018 || Frequency: 4.5 GHz || Temperature: 66.81
Name: i10 || Price: 259 || Year: 2018 || Frequency: 3.5 GHz || Temperature: 66.51
Name: Ryzen9 || Price: 529 || Year: 2018 || Frequency: 4.5 GHz || Temperature: 65.2
Name: Ryzen7 || Price: 298 || Year: 2019 || Frequency: 4.5 GHz || Temperature: 64.95
Name: i10 || Price: 404 || Year: 2020 || Frequency: 5 GHz || Temperature: 64.81
Name: i9 || Price: 279 || Year: 2022 || Frequency: 4.5 GHz || Temperature: 64.36
Name: Ryzen9 || Price: 453 || Year: 2022 || Frequency: 4.5 GHz || Temperature: 64.27
Name: i10 || Price: 514 || Year: 2023 || Frequency: 3.5 GHz || Temperature: 63.48
Name: i5 || Price: 239 || Year: 2019 || Frequency: 4.5 GHz || Temperature: 63.14
Name: Ryzen5 || Price: 112 || Year: 2018 || Frequency: 4 GHz || Temperature: 62.87
Name: Ryzen9 || Price: 502 || Year: 2022 || Frequency: 5 GHz || Temperature: 62.36
Name: i10 || Price: 149 || Year: 2022 || Frequency: 4 GHz || Temperature: 62.01
Name: i3 || Price: 318 || Year: 2018 || Frequency: 4.5 GHz || Temperature: 58.57
Name: i3 || Price: 545 || Year: 2022 || Frequency: 3.5 GHz || Temperature: 58.32
Name: i9 || Price: 161 || Year: 2021 || Frequency: 4.5 GHz || Temperature: 57.9
Name: i10 || Price: 421 || Year: 2018 || Frequency: 5 GHz || Temperature: 56.71
Name: i3 || Price: 327 || Year: 2019 || Frequency: 4 GHz || Temperature: 56.41
Name: Ryzen5 || Price: 277 || Year: 2019 || Frequency: 4 GHz || Temperature: 55.86
Name: Ryzen7 || Price: 512 || Year: 2022 || Frequency: 4.5 GHz || Temperature: 55.04
Name: i10 || Price: 289 || Year: 2022 || Frequency: 3.5 GHz || Temperature: 54.68
Name: Ryzen5 || Price: 271 || Year: 2021 || Frequency: 5 GHz || Temperature: 54.54
Name: i10 || Price: 200 || Year: 2020 || Frequency: 5 GHz || Temperature: 54.34
